pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,days_stayed,total_days_stayed,total_hours_stayed,condition_is_missing
ANSL_56697,2014-10-31 00:00:00,2016-11-21 15:26:00,2.0,Brown,0.65,18.14,13,9,1.0,4,752 days 15:26:00.000000000,752,15.43,0
ANSL_60819,2015-10-23 00:00:00,2017-12-26 11:11:00,0.0,Black,0.79,10.9,7,1,1.0,1,795 days 11:11:00.000000000,795,11.18,0
ANSL_58673,2017-12-29 00:00:00,2018-03-08 11:04:00,-1.0,Black,0.08,30.4,9,2,2.0,1,69 days 11:04:00.000000000,69,11.07,1
ANSL_62458,2018-04-17 00:00:00,2018-12-14 17:42:00,0.0,Blue,0.05,44.1,0,1,1.0,1,241 days 17:42:00.000000000,241,17.7,0
ANSL_64552,2016-10-23 00:00:00,2017-11-14 09:00:00,0.0,Orange Tabby,0.52,13.25,16,9,1.0,1,387 days 09:00:00.000000000,387,9.0,0
ANSL_75413,2018-11-29 00:00:00,2019-04-08 17:09:00,1.0,Black,0.62,32.76,0,1,0.0,2,130 days 17:09:00.000000000,130,17.15,0
ANSL_76141,2018-03-29 00:00:00,2019-04-26 11:49:00,1.0,White,0.42,10.38,0,8,0.0,2,393 days 11:49:00.000000000,393,11.82,0
ANSL_60574,2015-01-20 00:00:00,2018-04-09 09:30:00,1.0,Black,0.53,42.92,13,9,0.0,1,1175 days 09:30:00.000000000,1175,9.5,0
ANSL_55045,2015-03-06 00:00:00,2017-03-28 19:02:00,0.0,Black,0.07,7.09,16,9,1.0,1,753 days 19:02:00.000000000,753,19.03,0
ANSL_66680,2016-08-24 00:00:00,2017-09-24 14:28:00,0.0,Blue,0.41,35.07,0,1,1.0,2,396 days 14:28:00.000000000,396,14.47,0
ANSL_55030,2008-03-20 00:00:00,2017-07-23 17:26:00,2.0,Sable,0.54,17.01,0,7,0.0,2,3412 days 17:26:00.000000000,3412,17.43,0
ANSL_75554,2017-03-04 00:00:00,2019-04-12 13:06:00,0.0,White,0.19,30.01,13,9,1.0,2,769 days 13:06:00.000000000,769,13.1,0
ANSL_62016,2016-12-15 00:00:00,2019-01-07 21:55:00,-1.0,Brown Tabby,0.44,49.68,18,4,2.0,1,753 days 21:55:00.000000000,753,21.92,1
ANSL_69645,2015-01-28 00:00:00,2018-02-28 18:24:00,0.0,Tan,0.67,15.38,0,7,1.0,2,1127 days 18:24:00.000000000,1127,18.4,0
ANSL_52823,2014-03-13 00:00:00,2017-12-31 14:42:00,1.0,Tan,0.7,12.53,0,7,0.0,2,1389 days 14:42:00.000000000,1389,14.7,0
ANSL_76493,2017-04-07 00:00:00,2019-05-03 21:07:00,1.0,Brown,0.8,29.12,0,1,0.0,2,756 days 21:07:00.000000000,756,21.12,0
ANSL_52483,2016-07-16 00:00:00,2016-10-15 15:50:00,2.0,Brown Tabby,0.33,46.54,18,4,0.0,1,91 days 15:50:00.000000000,91,15.83,0
ANSL_56705,2016-10-29 00:00:00,2017-11-24 17:35:00,0.0,Tan,0.09,20.71,0,1,1.0,2,391 days 17:35:00.000000000,391,17.58,0
ANSL_71550,2016-08-03 00:00:00,2016-10-29 19:51:00,1.0,White,0.62,35.64,7,1,0.0,1,87 days 19:51:00.000000000,87,19.85,0
ANSL_74451,2016-06-21 00:00:00,2018-06-12 11:35:00,1.0,Black,0.83,17.96,0,7,0.0,1,721 days 11:35:00.000000000,721,11.58,0
ANSL_54362,2016-12-09 00:00:00,2017-11-03 17:36:00,0.0,Black,0.04,43.27,0,1,1.0,2,329 days 17:36:00.000000000,329,17.6,0
ANSL_55262,2016-07-03 00:00:00,2017-07-28 18:59:00,1.0,Orange Tabby,0.38,32.15,16,9,0.0,1,390 days 18:59:00.000000000,390,18.98,0
ANSL_52281,2016-04-08 00:00:00,2018-05-09 14:57:00,0.0,Blue,0.1,44.25,0,1,1.0,2,761 days 14:57:00.000000000,761,14.95,0
ANSL_50293,2016-11-18 00:00:00,2017-02-21 15:23:00,2.0,Brown Tabby,0.73,35.42,9,2,0.0,1,95 days 15:23:00.000000000,95,15.38,0
ANSL_63670,2010-09-15 00:00:00,2019-03-31 18:39:00,0.0,Brown Tabby,0.31,49.06,0,1,1.0,1,3119 days 18:39:00.000000000,3119,18.65,0
ANSL_54345,2014-01-03 00:00:00,2019-01-27 14:54:00,0.0,Tricolor,0.3,23.88,0,7,1.0,2,1850 days 14:54:00.000000000,1850,14.9,0
ANSL_54467,2016-01-07 00:00:00,2018-01-29 07:48:00,-1.0,Red,0.49,39.78,15,4,2.0,4,753 days 07:48:00.000000000,753,7.8,1
ANSL_63117,2015-02-07 00:00:00,2018-02-28 16:16:00,1.0,Black,0.24,40.52,0,7,0.0,1,1117 days 16:16:00.000000000,1117,16.27,0
ANSL_75526,2016-03-18 00:00:00,2019-04-11 15:06:00,2.0,Black,0.79,39.36,0,3,0.0,1,1119 days 15:06:00.000000000,1119,15.1,0
ANSL_58969,2016-11-20 00:00:00,2016-12-16 16:40:00,-1.0,Brown Tabby,0.17,32.6,13,9,2.0,1,26 days 16:40:00.000000000,26,16.67,1
ANSL_61988,2010-05-05 00:00:00,2018-05-25 14:28:00,2.0,Buff,0.27,32.8,18,4,0.0,1,2942 days 14:28:00.000000000,2942,14.47,0
ANSL_69265,2016-02-02 00:00:00,2018-03-17 14:27:00,1.0,Blue Tick,0.58,39.96,0,1,0.0,2,774 days 14:27:00.000000000,774,14.45,0
ANSL_76161,2011-04-05 00:00:00,2019-04-27 11:40:00,0.0,Black,0.18,48.06,0,7,1.0,2,2944 days 11:40:00.000000000,2944,11.67,0
ANSL_72371,2017-07-12 00:00:00,2018-08-05 17:08:00,0.0,White,0.01,30.99,0,1,1.0,2,389 days 17:08:00.000000000,389,17.13,0
ANSL_62897,2015-09-22 00:00:00,2018-09-07 12:08:00,0.0,Brown,0.56,16.55,7,1,1.0,2,1081 days 12:08:00.000000000,1081,12.13,0
ANSL_60626,2018-08-19 00:00:00,2018-11-17 16:12:00,0.0,Orange Tabby,0.46,27.83,0,1,1.0,1,90 days 16:12:00.000000000,90,16.2,0
ANSL_55226,2014-09-23 00:00:00,2017-11-04 17:07:00,1.0,Brown,0.45,35.75,0,1,0.0,2,1138 days 17:07:00.000000000,1138,17.12,0
ANSL_75066,2018-03-01 00:00:00,2018-09-20 10:42:00,-1.0,Red,0.15,36.73,12,1,2.0,0,203 days 10:42:00.000000000,203,10.7,1
ANSL_58763,2016-11-29 00:00:00,2018-12-24 17:41:00,2.0,Tricolor,0.64,35.69,13,9,1.0,2,755 days 17:41:00.000000000,755,17.68,0
ANSL_63362,2016-03-19 00:00:00,2018-04-26 17:13:00,1.0,Orange Tabby,0.3,29.19,0,1,0.0,1,768 days 17:13:00.000000000,768,17.22,0
ANSL_60528,2014-10-27 00:00:00,2017-11-18 09:00:00,1.0,Orange Tabby,0.32,40.57,16,9,0.0,1,1118 days 09:00:00.000000000,1118,9.0,0
ANSL_66119,2015-03-02 00:00:00,2018-04-05 13:45:00,1.0,Black,0.1,7.12,0,7,0.0,2,1130 days 13:45:00.000000000,1130,13.75,0
ANSL_73664,2017-10-04 00:00:00,2018-12-02 08:09:00,1.0,Black,0.0,32.98,7,1,0.0,2,424 days 08:09:00.000000000,424,8.15,0
ANSL_58286,2015-10-01 00:00:00,2018-11-11 16:03:00,0.0,Blue,0.01,43.68,0,1,1.0,1,1137 days 16:03:00.000000000,1137,16.05,0
ANSL_54029,2016-07-29 00:00:00,2018-09-20 19:05:00,0.0,Torbie,0.89,12.65,0,1,1.0,1,783 days 19:05:00.000000000,783,19.08,0
ANSL_73990,2016-07-02 00:00:00,2016-11-28 18:54:00,1.0,White,0.46,19.38,0,1,0.0,1,149 days 18:54:00.000000000,149,18.9,0
ANSL_54886,2018-01-30 00:00:00,2019-03-06 12:20:00,0.0,Brown Tabby,0.91,45.39,0,1,1.0,1,400 days 12:20:00.000000000,400,12.33,0
ANSL_75713,2018-03-22 00:00:00,2019-04-16 12:42:00,2.0,Brown Tabby,0.43,49.54,17,9,1.0,1,390 days 12:42:00.000000000,390,12.7,0
ANSL_61116,2016-11-10 00:00:00,2017-02-18 18:57:00,0.0,Brown Tabby,0.67,42.6,0,1,1.0,1,100 days 18:57:00.000000000,100,18.95,0
ANSL_60330,2017-09-05 00:00:00,2017-12-11 20:10:00,1.0,Black,0.93,20.02,0,1,0.0,2,97 days 20:10:00.000000000,97,20.17,0
ANSL_72100,2017-06-09 00:00:00,2018-07-03 14:53:00,0.0,Tan,0.0,22.2,0,7,1.0,2,389 days 14:53:00.000000000,389,14.88,0
ANSL_66412,2017-01-27 00:00:00,2019-03-03 11:54:00,0.0,Orange,0.41,6.47,0,1,1.0,1,765 days 11:54:00.000000000,765,11.9,0
ANSL_70858,2017-07-30 00:00:00,2018-08-24 16:59:00,1.0,Black,0.02,36.19,17,9,0.0,1,390 days 16:59:00.000000000,390,16.98,0
ANSL_73513,2016-11-24 00:00:00,2017-02-25 18:47:00,0.0,Torbie,0.44,25.45,0,1,1.0,1,93 days 18:47:00.000000000,93,18.78,0
ANSL_70120,2014-06-24 00:00:00,2018-01-19 18:19:00,1.0,Tan,0.21,31.52,0,7,0.0,2,1305 days 18:19:00.000000000,1305,18.32,0
ANSL_71504,2016-07-04 00:00:00,2016-11-25 18:46:00,0.0,Blue Tabby,0.11,42.76,0,1,1.0,1,144 days 18:46:00.000000000,144,18.77,0
ANSL_71993,2012-07-21 00:00:00,2017-08-05 17:34:00,0.0,Chocolate,0.84,22.98,0,7,1.0,2,1841 days 17:34:00.000000000,1841,17.57,0
ANSL_69762,2013-12-27 00:00:00,2018-10-05 15:59:00,0.0,Black,0.09,8.86,0,1,1.0,1,1743 days 15:59:00.000000000,1743,15.98,0
ANSL_59393,2018-07-19 00:00:00,2018-12-23 19:15:00,1.0,Orange Tabby,0.06,15.46,0,1,0.0,1,157 days 19:15:00.000000000,157,19.25,0
ANSL_76646,2018-09-24 00:00:00,2019-05-08 13:05:00,2.0,White,0.61,25.47,0,7,0.0,2,226 days 13:05:00.000000000,226,13.08,0
ANSL_66359,2015-01-16 00:00:00,2017-02-07 09:16:00,2.0,Orange Tabby,0.81,42.33,18,4,0.0,1,753 days 09:16:00.000000000,753,9.27,0
ANSL_67558,2010-10-02 00:00:00,2018-10-22 13:25:00,1.0,Chocolate,0.14,45.05,0,7,0.0,2,2942 days 13:25:00.000000000,2942,13.42,0
ANSL_52564,2009-06-01 00:00:00,2017-06-26 17:07:00,2.0,Black,0.05,31.45,13,9,1.0,1,2947 days 17:07:00.000000000,2947,17.12,0
ANSL_63471,2007-02-19 00:00:00,2017-03-10 18:29:00,2.0,Brown Tabby,0.82,17.62,9,2,1.0,1,3672 days 18:29:00.000000000,3672,18.48,0
ANSL_50012,2016-09-04 00:00:00,2017-01-23 18:20:00,1.0,Black,0.81,29.03,0,1,0.0,1,141 days 18:20:00.000000000,141,18.33,0
ANSL_54755,2015-04-12 00:00:00,2018-09-07 16:46:00,0.0,White,0.76,46.05,0,1,1.0,2,1244 days 16:46:00.000000000,1244,16.77,0
ANSL_69874,2016-09-16 00:00:00,2018-10-11 15:57:00,1.0,Black,0.92,11.19,0,1,0.0,1,755 days 15:57:00.000000000,755,15.95,0
ANSL_52815,2016-11-17 00:00:00,2016-12-10 19:24:00,-1.0,Calico,0.99,44.23,13,9,2.0,1,23 days 19:24:00.000000000,23,19.4,1
ANSL_63690,2016-09-18 00:00:00,2018-10-10 09:16:00,-1.0,Red,0.16,8.42,15,4,2.0,4,752 days 09:16:00.000000000,752,9.27,1
ANSL_74184,2017-09-17 00:00:00,2017-10-31 12:24:00,2.0,Black Tabby,0.33,33.54,13,9,0.0,1,44 days 12:24:00.000000000,44,12.4,0
ANSL_68874,2016-11-16 00:00:00,2017-04-02 13:44:00,2.0,Black,0.95,44.05,13,9,1.0,1,137 days 13:44:00.000000000,137,13.73,0
ANSL_64736,2014-08-13 00:00:00,2017-09-03 18:54:00,2.0,Red,0.17,33.19,15,4,1.0,4,1117 days 18:54:00.000000000,1117,18.9,0
ANSL_60337,2016-09-13 00:00:00,2016-12-17 14:57:00,1.0,Tan,0.14,17.85,13,9,0.0,2,95 days 14:57:00.000000000,95,14.95,0
ANSL_65602,2017-10-11 00:00:00,2018-01-04 17:17:00,2.0,Brown Tabby,0.37,17.3,0,1,0.0,1,85 days 17:17:00.000000000,85,17.28,0
ANSL_66640,2016-09-06 00:00:00,2016-12-16 17:30:00,1.0,Black Brindle,0.41,24.66,0,1,0.0,2,101 days 17:30:00.000000000,101,17.5,0
ANSL_55016,2016-04-04 00:00:00,2017-04-28 18:45:00,1.0,Cream Tabby,0.52,6.25,0,1,0.0,1,389 days 18:45:00.000000000,389,18.75,0
ANSL_74939,2016-03-24 00:00:00,2017-11-13 16:00:00,1.0,White,0.91,24.31,0,7,0.0,2,599 days 16:00:00.000000000,599,16.0,0
ANSL_54794,2017-09-06 00:00:00,2017-12-04 12:30:00,0.0,Blue Tabby,0.69,42.55,0,1,1.0,1,89 days 12:30:00.000000000,89,12.5,0
ANSL_66067,2011-12-03 00:00:00,2016-12-23 16:42:00,0.0,Black,0.04,5.4,0,7,1.0,2,1847 days 16:42:00.000000000,1847,16.7,0
ANSL_67472,2016-07-10 00:00:00,2016-10-06 18:40:00,1.0,Orange Tabby,0.03,8.12,0,1,0.0,1,88 days 18:40:00.000000000,88,18.67,0
ANSL_61924,2017-11-17 00:00:00,2018-06-19 14:48:00,0.0,Tan,0.18,26.67,0,1,1.0,2,214 days 14:48:00.000000000,214,14.8,0
ANSL_57027,2018-11-07 00:00:00,2019-02-09 17:06:00,0.0,Torbie,0.04,13.85,0,1,1.0,1,94 days 17:06:00.000000000,94,17.1,0
ANSL_63245,2014-03-23 00:00:00,2018-04-13 15:38:00,1.0,Black,0.08,29.65,0,7,0.0,2,1482 days 15:38:00.000000000,1482,15.63,0
ANSL_67439,2018-06-23 00:00:00,2019-01-16 15:20:00,2.0,White,0.2,32.09,13,9,0.0,2,207 days 15:20:00.000000000,207,15.33,0
ANSL_61569,2015-10-22 00:00:00,2017-05-21 12:01:00,2.0,Black,0.15,31.43,0,7,0.0,2,577 days 12:01:00.000000000,577,12.02,0
ANSL_66720,2017-10-26 00:00:00,2018-12-14 19:15:00,1.0,Brown Brindle,0.63,22.83,0,1,0.0,2,414 days 19:15:00.000000000,414,19.25,0
ANSL_69437,2017-07-16 00:00:00,2018-01-09 13:02:00,1.0,Blue,0.9,24.96,7,1,0.0,1,177 days 13:02:00.000000000,177,13.03,0
ANSL_65204,2016-07-21 00:00:00,2016-09-17 13:31:00,2.0,Black,0.81,43.14,13,9,0.0,1,58 days 13:31:00.000000000,58,13.52,0
ANSL_60534,2017-07-13 00:00:00,2018-03-05 15:44:00,0.0,Gold,0.36,15.45,0,1,1.0,2,235 days 15:44:00.000000000,235,15.73,0
ANSL_71253,2016-12-19 00:00:00,2018-06-12 12:21:00,0.0,Brown Tabby,0.49,7.78,13,9,1.0,1,540 days 12:21:00.000000000,540,12.35,0
ANSL_61331,2018-06-07 00:00:00,2018-07-28 14:40:00,2.0,Black,0.27,12.54,13,9,0.0,1,51 days 14:40:00.000000000,51,14.67,0
ANSL_59868,2016-02-04 00:00:00,2018-04-29 16:38:00,-1.0,Brown,0.97,46.19,0,3,2.0,4,815 days 16:38:00.000000000,815,16.63,1
ANSL_64532,2017-06-30 00:00:00,2017-10-11 00:00:00,2.0,Calico Point,0.53,20.28,9,5,1.0,1,103 days 00:00:00.000000000,103,0.0,0
ANSL_59797,2011-12-28 00:00:00,2019-01-18 09:36:00,1.0,White,0.4,47.42,0,7,0.0,2,2578 days 09:36:00.000000000,2578,9.6,0
ANSL_50355,2014-05-21 00:00:00,2017-06-11 18:13:00,1.0,Blue Merle,0.04,45.23,0,7,0.0,2,1117 days 18:13:00.000000000,1117,18.22,0
ANSL_61861,2006-03-04 00:00:00,2019-04-01 11:36:00,0.0,Brown Tabby,0.77,27.39,0,7,1.0,1,4776 days 11:36:00.000000000,4776,11.6,0
ANSL_75174,2018-06-20 00:00:00,2018-10-16 11:00:00,0.0,Blue,0.19,26.1,13,9,1.0,1,118 days 11:00:00.000000000,118,11.0,0
ANSL_65618,2012-11-29 00:00:00,2018-03-04 00:00:00,1.0,Blue Merle,0.5,12.22,0,7,0.0,2,1921 days 00:00:00.000000000,1921,0.0,0
ANSL_71574,2016-04-09 00:00:00,2018-06-01 18:36:00,0.0,Brown Brindle,0.9,48.26,0,1,1.0,2,783 days 18:36:00.000000000,783,18.6,0
ANSL_61677,2018-06-26 00:00:00,2018-10-29 18:00:00,1.0,Blue Tabby,0.3,31.37,7,1,0.0,1,125 days 18:00:00.000000000,125,18.0,0
ANSL_60315,2017-07-13 00:00:00,2018-09-24 18:40:00,0.0,Blue Tabby,0.91,27.96,0,1,1.0,1,438 days 18:40:00.000000000,438,18.67,0
ANSL_58968,2016-08-22 00:00:00,2016-11-22 15:31:00,0.0,Tortie,1.0,27.77,0,1,1.0,1,92 days 15:31:00.000000000,92,15.52,0
ANSL_75417,2019-01-23 00:00:00,2019-04-08 18:26:00,1.0,Tan,0.53,22.5,7,1,0.0,2,75 days 18:26:00.000000000,75,18.43,0
ANSL_67786,2012-06-25 00:00:00,2016-07-23 11:55:00,0.0,White,0.49,18.86,13,9,1.0,2,1489 days 11:55:00.000000000,1489,11.92,0
ANSL_64363,2016-11-22 00:00:00,2018-12-12 00:00:00,2.0,Black,0.48,12.48,2,4,0.0,1,750 days 00:00:00.000000000,750,0.0,0
ANSL_69159,2011-11-11 00:00:00,2016-12-04 17:59:00,0.0,White,0.73,9.2,0,7,1.0,2,1850 days 17:59:00.000000000,1850,17.98,0
ANSL_64748,2016-09-18 00:00:00,2017-10-09 17:26:00,0.0,White,0.21,47.6,0,7,1.0,2,386 days 17:26:00.000000000,386,17.43,0
ANSL_59733,2017-09-06 00:00:00,2018-10-01 15:51:00,2.0,Black,0.91,41.92,13,9,1.0,2,390 days 15:51:00.000000000,390,15.85,0
ANSL_66903,2013-07-31 00:00:00,2016-08-22 11:04:00,0.0,Black,0.69,41.93,0,7,1.0,2,1118 days 11:04:00.000000000,1118,11.07,0
ANSL_70167,2016-02-17 00:00:00,2017-07-07 18:08:00,0.0,Orange Tabby,0.06,33.95,7,1,1.0,1,506 days 18:08:00.000000000,506,18.13,0
ANSL_60808,2016-10-04 00:00:00,2017-01-27 12:38:00,1.0,Brown Tabby,0.37,26.27,0,1,0.0,1,115 days 12:38:00.000000000,115,12.63,0
ANSL_50064,2018-01-05 00:00:00,2019-01-27 16:02:00,1.0,Orange Tabby,0.47,7.59,0,7,0.0,1,387 days 16:02:00.000000000,387,16.03,0
ANSL_73811,2016-10-24 00:00:00,2017-02-07 14:33:00,1.0,Brown Tabby,0.88,44.54,0,1,0.0,1,106 days 14:33:00.000000000,106,14.55,0
ANSL_71122,2016-01-11 00:00:00,2018-02-13 19:04:00,1.0,Black,0.09,29.71,0,7,0.0,2,764 days 19:04:00.000000000,764,19.07,0
ANSL_57006,2016-02-03 00:00:00,2018-03-29 11:37:00,1.0,Tan,0.87,20.66,0,1,0.0,2,785 days 11:37:00.000000000,785,11.62,0
ANSL_59199,2018-01-12 00:00:00,2018-06-01 17:20:00,1.0,Orange Tabby,0.66,23.94,7,1,0.0,1,140 days 17:20:00.000000000,140,17.33,0
ANSL_58890,2014-09-29 00:00:00,2018-10-20 16:14:00,1.0,White,0.64,41.35,0,7,0.0,2,1482 days 16:14:00.000000000,1482,16.23,0
ANSL_57463,2011-11-23 00:00:00,2016-12-17 13:14:00,2.0,Tricolor,0.51,13.5,13,9,1.0,2,1851 days 13:14:00.000000000,1851,13.23,0
ANSL_63374,2014-08-23 00:00:00,2016-10-12 10:22:00,2.0,Red Merle,0.29,6.67,13,9,0.0,2,781 days 10:22:00.000000000,781,10.37,0
ANSL_60951,2006-06-07 00:00:00,2018-07-09 09:53:00,0.0,Black,0.04,9.82,0,7,1.0,2,4415 days 09:53:00.000000000,4415,9.88,0
ANSL_63454,2017-11-02 00:00:00,2018-01-17 10:44:00,2.0,Black Tabby,0.16,8.04,7,1,0.0,1,76 days 10:44:00.000000000,76,10.73,0
ANSL_73065,2017-09-10 00:00:00,2017-12-08 16:06:00,2.0,Brown Tabby,0.61,39.88,0,1,1.0,1,89 days 16:06:00.000000000,89,16.1,0
ANSL_72681,2007-09-26 00:00:00,2016-10-17 10:07:00,2.0,Brown,0.66,18.9,18,4,1.0,2,3309 days 10:07:00.000000000,3309,10.12,0
ANSL_60874,2017-07-09 00:00:00,2017-11-20 12:53:00,0.0,Orange Tabby,0.15,36.78,0,1,1.0,1,134 days 12:53:00.000000000,134,12.88,0
ANSL_51360,2016-02-18 00:00:00,2017-03-19 15:23:00,1.0,Black,0.19,25.17,0,1,0.0,2,395 days 15:23:00.000000000,395,15.38,0
