pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,days_stayed,total_days_stayed,total_hours_stayed,condition_is_missing,fe_ids,len_in_cm,X1_X2,Area_occupied
ANSL_55607,2013-11-28 00:00:00,2017-12-28 00:00:00,2.0,16,0.76,38.99,13,9,1.0,2,1491 days 00:00:00.000000000,1491,0.0,0,55607,76.0,117,2963.2400000000002
ANSL_72451,2018-08-23 00:00:00,2018-11-29 11:46:00,0.0,2,0.96,24.33,0,1,1.0,1,98 days 11:46:00.000000000,98,11.77,0,72451,96.0,0,2335.68
ANSL_66055,2008-01-25 00:00:00,2016-08-15 11:27:00,1.0,18,0.66,36.01,0,1,0.0,1,3125 days 11:27:00.000000000,3125,11.45,0,66055,66.0,0,2376.66
ANSL_50488,2018-01-07 00:00:00,2018-07-28 12:36:00,-1.0,15,0.45,14.0,11,4,2.0,4,202 days 12:36:00.000000000,202,12.6,1,50488,45.0,44,630.0
ANSL_68751,2018-03-14 00:00:00,2018-05-24 17:10:00,0.0,53,0.92,49.5,7,1,1.0,2,71 days 17:10:00.000000000,71,17.17,0,68751,92.0,7,4554.0
ANSL_57387,2014-11-22 00:00:00,2017-04-10 16:55:00,0.0,7,0.31,49.04,13,9,1.0,2,870 days 16:55:00.000000000,870,16.92,0,57387,31.0,117,1520.24
ANSL_67782,2012-08-02 00:00:00,2019-01-07 00:00:00,2.0,2,0.51,45.53,13,9,0.0,2,2349 days 00:00:00.000000000,2349,0.0,0,67782,51.0,117,2322.03
ANSL_76397,2018-04-11 00:00:00,2019-05-02 14:16:00,1.0,2,0.8,37.17,0,7,0.0,2,386 days 14:16:00.000000000,386,14.27,0,76397,80.0,0,2973.6000000000004
ANSL_59210,2017-12-30 00:00:00,2018-04-25 17:41:00,0.0,50,0.53,35.06,0,1,1.0,1,116 days 17:41:00.000000000,116,17.68,0,59210,53.0,0,1858.18
ANSL_56018,2011-01-25 00:00:00,2017-03-10 12:21:00,1.0,30,0.32,48.92,0,7,0.0,2,2236 days 12:21:00.000000000,2236,12.35,0,56018,32.0,0,1565.44
ANSL_53325,2015-09-01 00:00:00,2016-09-23 18:16:00,1.0,27,0.98,14.02,0,7,0.0,2,388 days 18:16:00.000000000,388,18.27,0,53325,98.0,0,1373.96
ANSL_52456,2010-07-18 00:00:00,2018-02-18 14:46:00,0.0,52,0.68,22.33,0,7,1.0,2,2772 days 14:46:00.000000000,2772,14.77,0,52456,68.0,0,1518.4399999999998
ANSL_55113,2013-11-29 00:00:00,2016-12-28 16:15:00,1.0,20,0.16,27.19,0,1,0.0,2,1125 days 16:15:00.000000000,1125,16.25,0,55113,16.0,0,435.04
ANSL_73983,2005-10-04 00:00:00,2018-10-27 00:00:00,1.0,53,0.6,49.36,13,9,0.0,2,4771 days 00:00:00.000000000,4771,0.0,0,73983,60.0,117,2961.6
ANSL_62164,2009-02-13 00:00:00,2017-12-14 15:49:00,0.0,2,0.83,22.34,0,1,1.0,2,3226 days 15:49:00.000000000,3226,15.82,0,62164,83.0,0,1854.22
ANSL_53732,2017-07-28 00:00:00,2019-03-27 15:40:00,0.0,53,0.92,37.62,0,1,1.0,1,607 days 15:40:00.000000000,607,15.67,0,53732,92.0,0,3461.04
ANSL_69635,2017-05-26 00:00:00,2018-06-21 15:15:00,2.0,53,0.16,48.19,0,7,1.0,2,391 days 15:15:00.000000000,391,15.25,0,69635,16.0,0,771.04
ANSL_54000,2018-01-14 00:00:00,2018-02-11 14:49:00,-1.0,53,0.03,21.9,13,9,2.0,1,28 days 14:49:00.000000000,28,14.82,1,54000,3.0,117,65.69999999999999
ANSL_66035,2017-08-26 00:00:00,2018-11-15 15:15:00,1.0,2,0.91,30.24,13,9,0.0,2,446 days 15:15:00.000000000,446,15.25,0,66035,91.0,117,2751.8399999999997
ANSL_50166,2018-07-06 00:00:00,2018-09-30 18:44:00,0.0,49,0.73,15.86,0,1,1.0,1,86 days 18:44:00.000000000,86,18.73,0,50166,73.0,0,1157.78
ANSL_50330,2017-07-27 00:00:00,2018-02-18 10:19:00,-1.0,15,0.73,8.22,0,6,2.0,4,206 days 10:19:00.000000000,206,10.32,1,50330,73.0,0,600.0600000000001
ANSL_66446,2010-03-14 00:00:00,2017-04-10 14:17:00,1.0,38,0.9,12.88,0,7,0.0,1,2584 days 14:17:00.000000000,2584,14.28,0,66446,90.0,0,1159.2
ANSL_51682,2017-06-08 00:00:00,2018-07-30 18:36:00,1.0,52,0.88,41.37,0,7,0.0,2,417 days 18:36:00.000000000,417,18.6,0,51682,88.0,0,3640.56
ANSL_56697,2014-10-31 00:00:00,2016-11-21 15:26:00,2.0,15,0.65,18.14,13,9,1.0,4,752 days 15:26:00.000000000,752,15.43,0,56697,65.0,117,1179.1000000000001
ANSL_60819,2015-10-23 00:00:00,2017-12-26 11:11:00,0.0,2,0.79,10.9,7,1,1.0,1,795 days 11:11:00.000000000,795,11.18,0,60819,79.0,7,861.1
ANSL_58673,2017-12-29 00:00:00,2018-03-08 11:04:00,-1.0,2,0.08,30.4,9,2,2.0,1,69 days 11:04:00.000000000,69,11.07,1,58673,8.0,18,243.2
ANSL_62458,2018-04-17 00:00:00,2018-12-14 17:42:00,0.0,7,0.05,44.1,0,1,1.0,1,241 days 17:42:00.000000000,241,17.7,0,62458,5.0,0,220.5
ANSL_64552,2016-10-23 00:00:00,2017-11-14 09:00:00,0.0,38,0.52,13.25,16,9,1.0,1,387 days 09:00:00.000000000,387,9.0,0,64552,52.0,144,689.0
ANSL_75413,2018-11-29 00:00:00,2019-04-08 17:09:00,1.0,2,0.62,32.76,0,1,0.0,2,130 days 17:09:00.000000000,130,17.15,0,75413,62.0,0,2031.12
ANSL_76141,2018-03-29 00:00:00,2019-04-26 11:49:00,1.0,53,0.42,10.38,0,8,0.0,2,393 days 11:49:00.000000000,393,11.82,0,76141,42.0,0,435.96000000000004
ANSL_60574,2015-01-20 00:00:00,2018-04-09 09:30:00,1.0,2,0.53,42.92,13,9,0.0,1,1175 days 09:30:00.000000000,1175,9.5,0,60574,53.0,117,2274.76
ANSL_55045,2015-03-06 00:00:00,2017-03-28 19:02:00,0.0,2,0.07,7.09,16,9,1.0,1,753 days 19:02:00.000000000,753,19.03,0,55045,7.000000000000001,144,49.63
ANSL_66680,2016-08-24 00:00:00,2017-09-24 14:28:00,0.0,7,0.41,35.07,0,1,1.0,2,396 days 14:28:00.000000000,396,14.47,0,66680,41.0,0,1437.8700000000001
ANSL_55030,2008-03-20 00:00:00,2017-07-23 17:26:00,2.0,43,0.54,17.01,0,7,0.0,2,3412 days 17:26:00.000000000,3412,17.43,0,55030,54.0,0,918.5400000000001
ANSL_75554,2017-03-04 00:00:00,2019-04-12 13:06:00,0.0,53,0.19,30.01,13,9,1.0,2,769 days 13:06:00.000000000,769,13.1,0,75554,19.0,117,570.19
ANSL_62016,2016-12-15 00:00:00,2019-01-07 21:55:00,-1.0,18,0.44,49.68,18,4,2.0,1,753 days 21:55:00.000000000,753,21.92,1,62016,44.0,72,2185.92
ANSL_69645,2015-01-28 00:00:00,2018-02-28 18:24:00,0.0,48,0.67,15.38,0,7,1.0,2,1127 days 18:24:00.000000000,1127,18.4,0,69645,67.0,0,1030.46
ANSL_52823,2014-03-13 00:00:00,2017-12-31 14:42:00,1.0,48,0.7,12.53,0,7,0.0,2,1389 days 14:42:00.000000000,1389,14.7,0,52823,70.0,0,877.0999999999999
ANSL_76493,2017-04-07 00:00:00,2019-05-03 21:07:00,1.0,15,0.8,29.12,0,1,0.0,2,756 days 21:07:00.000000000,756,21.12,0,76493,80.0,0,2329.6
ANSL_52483,2016-07-16 00:00:00,2016-10-15 15:50:00,2.0,18,0.33,46.54,18,4,0.0,1,91 days 15:50:00.000000000,91,15.83,0,52483,33.0,72,1535.82
ANSL_56705,2016-10-29 00:00:00,2017-11-24 17:35:00,0.0,48,0.09,20.71,0,1,1.0,2,391 days 17:35:00.000000000,391,17.58,0,56705,9.0,0,186.39000000000001
ANSL_71550,2016-08-03 00:00:00,2016-10-29 19:51:00,1.0,53,0.62,35.64,7,1,0.0,1,87 days 19:51:00.000000000,87,19.85,0,71550,62.0,7,2209.68
ANSL_74451,2016-06-21 00:00:00,2018-06-12 11:35:00,1.0,2,0.83,17.96,0,7,0.0,1,721 days 11:35:00.000000000,721,11.58,0,74451,83.0,0,1490.68
ANSL_54362,2016-12-09 00:00:00,2017-11-03 17:36:00,0.0,2,0.04,43.27,0,1,1.0,2,329 days 17:36:00.000000000,329,17.6,0,54362,4.0,0,173.08
ANSL_55262,2016-07-03 00:00:00,2017-07-28 18:59:00,1.0,38,0.38,32.15,16,9,0.0,1,390 days 18:59:00.000000000,390,18.98,0,55262,38.0,144,1221.7
ANSL_52281,2016-04-08 00:00:00,2018-05-09 14:57:00,0.0,7,0.1,44.25,0,1,1.0,2,761 days 14:57:00.000000000,761,14.95,0,52281,10.0,0,442.5
ANSL_50293,2016-11-18 00:00:00,2017-02-21 15:23:00,2.0,18,0.73,35.42,9,2,0.0,1,95 days 15:23:00.000000000,95,15.38,0,50293,73.0,18,2585.6600000000003
ANSL_63670,2010-09-15 00:00:00,2019-03-31 18:39:00,0.0,18,0.31,49.06,0,1,1.0,1,3119 days 18:39:00.000000000,3119,18.65,0,63670,31.0,0,1520.8600000000001
ANSL_54345,2014-01-03 00:00:00,2019-01-27 14:54:00,0.0,52,0.3,23.88,0,7,1.0,2,1850 days 14:54:00.000000000,1850,14.9,0,54345,30.0,0,716.4
ANSL_54467,2016-01-07 00:00:00,2018-01-29 07:48:00,-1.0,40,0.49,39.78,15,4,2.0,4,753 days 07:48:00.000000000,753,7.8,1,54467,49.0,60,1949.22
ANSL_63117,2015-02-07 00:00:00,2018-02-28 16:16:00,1.0,2,0.24,40.52,0,7,0.0,1,1117 days 16:16:00.000000000,1117,16.27,0,63117,24.0,0,972.48
ANSL_75526,2016-03-18 00:00:00,2019-04-11 15:06:00,2.0,2,0.79,39.36,0,3,0.0,1,1119 days 15:06:00.000000000,1119,15.1,0,75526,79.0,0,3109.44
ANSL_58969,2016-11-20 00:00:00,2016-12-16 16:40:00,-1.0,18,0.17,32.6,13,9,2.0,1,26 days 16:40:00.000000000,26,16.67,1,58969,17.0,117,554.2
ANSL_61988,2010-05-05 00:00:00,2018-05-25 14:28:00,2.0,20,0.27,32.8,18,4,0.0,1,2942 days 14:28:00.000000000,2942,14.47,0,61988,27.0,72,885.5999999999999
ANSL_69265,2016-02-02 00:00:00,2018-03-17 14:27:00,1.0,13,0.58,39.96,0,1,0.0,2,774 days 14:27:00.000000000,774,14.45,0,69265,57.99999999999999,0,2317.68
ANSL_76161,2011-04-05 00:00:00,2019-04-27 11:40:00,0.0,2,0.18,48.06,0,7,1.0,2,2944 days 11:40:00.000000000,2944,11.67,0,76161,18.0,0,865.08
ANSL_72371,2017-07-12 00:00:00,2018-08-05 17:08:00,0.0,53,0.01,30.99,0,1,1.0,2,389 days 17:08:00.000000000,389,17.13,0,72371,1.0,0,30.99
ANSL_62897,2015-09-22 00:00:00,2018-09-07 12:08:00,0.0,15,0.56,16.55,7,1,1.0,2,1081 days 12:08:00.000000000,1081,12.13,0,62897,56.00000000000001,7,926.8000000000002
ANSL_60626,2018-08-19 00:00:00,2018-11-17 16:12:00,0.0,38,0.46,27.83,0,1,1.0,1,90 days 16:12:00.000000000,90,16.2,0,60626,46.0,0,1280.1799999999998
ANSL_55226,2014-09-23 00:00:00,2017-11-04 17:07:00,1.0,15,0.45,35.75,0,1,0.0,2,1138 days 17:07:00.000000000,1138,17.12,0,55226,45.0,0,1608.75
ANSL_75066,2018-03-01 00:00:00,2018-09-20 10:42:00,-1.0,40,0.15,36.73,12,1,2.0,0,203 days 10:42:00.000000000,203,10.7,1,75066,15.0,12,550.9499999999999
ANSL_58763,2016-11-29 00:00:00,2018-12-24 17:41:00,2.0,52,0.64,35.69,13,9,1.0,2,755 days 17:41:00.000000000,755,17.68,0,58763,64.0,117,2284.16
ANSL_63362,2016-03-19 00:00:00,2018-04-26 17:13:00,1.0,38,0.3,29.19,0,1,0.0,1,768 days 17:13:00.000000000,768,17.22,0,63362,30.0,0,875.7
ANSL_60528,2014-10-27 00:00:00,2017-11-18 09:00:00,1.0,38,0.32,40.57,16,9,0.0,1,1118 days 09:00:00.000000000,1118,9.0,0,60528,32.0,144,1298.24
ANSL_66119,2015-03-02 00:00:00,2018-04-05 13:45:00,1.0,2,0.1,7.12,0,7,0.0,2,1130 days 13:45:00.000000000,1130,13.75,0,66119,10.0,0,71.2
ANSL_73664,2017-10-04 00:00:00,2018-12-02 08:09:00,1.0,2,0.0,32.98,7,1,0.0,2,424 days 08:09:00.000000000,424,8.15,0,73664,0.0,7,0.0
ANSL_58286,2015-10-01 00:00:00,2018-11-11 16:03:00,0.0,7,0.01,43.68,0,1,1.0,1,1137 days 16:03:00.000000000,1137,16.05,0,58286,1.0,0,43.68
ANSL_54029,2016-07-29 00:00:00,2018-09-20 19:05:00,0.0,49,0.89,12.65,0,1,1.0,1,783 days 19:05:00.000000000,783,19.08,0,54029,89.0,0,1125.8500000000001
ANSL_73990,2016-07-02 00:00:00,2016-11-28 18:54:00,1.0,53,0.46,19.38,0,1,0.0,1,149 days 18:54:00.000000000,149,18.9,0,73990,46.0,0,891.4799999999999
ANSL_54886,2018-01-30 00:00:00,2019-03-06 12:20:00,0.0,18,0.91,45.39,0,1,1.0,1,400 days 12:20:00.000000000,400,12.33,0,54886,91.0,0,4130.49
ANSL_75713,2018-03-22 00:00:00,2019-04-16 12:42:00,2.0,18,0.43,49.54,17,9,1.0,1,390 days 12:42:00.000000000,390,12.7,0,75713,43.0,153,2130.22
ANSL_61116,2016-11-10 00:00:00,2017-02-18 18:57:00,0.0,18,0.67,42.6,0,1,1.0,1,100 days 18:57:00.000000000,100,18.95,0,61116,67.0,0,2854.2000000000003
ANSL_60330,2017-09-05 00:00:00,2017-12-11 20:10:00,1.0,2,0.93,20.02,0,1,0.0,2,97 days 20:10:00.000000000,97,20.17,0,60330,93.0,0,1861.86
ANSL_72100,2017-06-09 00:00:00,2018-07-03 14:53:00,0.0,48,0.0,22.2,0,7,1.0,2,389 days 14:53:00.000000000,389,14.88,0,72100,0.0,0,0.0
ANSL_66412,2017-01-27 00:00:00,2019-03-03 11:54:00,0.0,37,0.41,6.47,0,1,1.0,1,765 days 11:54:00.000000000,765,11.9,0,66412,41.0,0,265.27
ANSL_70858,2017-07-30 00:00:00,2018-08-24 16:59:00,1.0,2,0.02,36.19,17,9,0.0,1,390 days 16:59:00.000000000,390,16.98,0,70858,2.0,153,72.38
ANSL_73513,2016-11-24 00:00:00,2017-02-25 18:47:00,0.0,49,0.44,25.45,0,1,1.0,1,93 days 18:47:00.000000000,93,18.78,0,73513,44.0,0,1119.8
ANSL_70120,2014-06-24 00:00:00,2018-01-19 18:19:00,1.0,48,0.21,31.52,0,7,0.0,2,1305 days 18:19:00.000000000,1305,18.32,0,70120,21.0,0,661.92
ANSL_71504,2016-07-04 00:00:00,2016-11-25 18:46:00,0.0,12,0.11,42.76,0,1,1.0,1,144 days 18:46:00.000000000,144,18.77,0,71504,11.0,0,470.35999999999996
ANSL_71993,2012-07-21 00:00:00,2017-08-05 17:34:00,0.0,23,0.84,22.98,0,7,1.0,2,1841 days 17:34:00.000000000,1841,17.57,0,71993,84.0,0,1930.32
ANSL_69762,2013-12-27 00:00:00,2018-10-05 15:59:00,0.0,2,0.09,8.86,0,1,1.0,1,1743 days 15:59:00.000000000,1743,15.98,0,69762,9.0,0,79.74
ANSL_59393,2018-07-19 00:00:00,2018-12-23 19:15:00,1.0,38,0.06,15.46,0,1,0.0,1,157 days 19:15:00.000000000,157,19.25,0,59393,6.0,0,92.76
ANSL_76646,2018-09-24 00:00:00,2019-05-08 13:05:00,2.0,53,0.61,25.47,0,7,0.0,2,226 days 13:05:00.000000000,226,13.08,0,76646,61.0,0,1553.6699999999998
ANSL_66359,2015-01-16 00:00:00,2017-02-07 09:16:00,2.0,38,0.81,42.33,18,4,0.0,1,753 days 09:16:00.000000000,753,9.27,0,66359,81.0,72,3428.73
ANSL_67558,2010-10-02 00:00:00,2018-10-22 13:25:00,1.0,23,0.14,45.05,0,7,0.0,2,2942 days 13:25:00.000000000,2942,13.42,0,67558,14.000000000000002,0,630.7
ANSL_52564,2009-06-01 00:00:00,2017-06-26 17:07:00,2.0,2,0.05,31.45,13,9,1.0,1,2947 days 17:07:00.000000000,2947,17.12,0,52564,5.0,117,157.25
ANSL_63471,2007-02-19 00:00:00,2017-03-10 18:29:00,2.0,18,0.82,17.62,9,2,1.0,1,3672 days 18:29:00.000000000,3672,18.48,0,63471,82.0,18,1444.8400000000001
ANSL_50012,2016-09-04 00:00:00,2017-01-23 18:20:00,1.0,2,0.81,29.03,0,1,0.0,1,141 days 18:20:00.000000000,141,18.33,0,50012,81.0,0,2351.4300000000003
ANSL_54755,2015-04-12 00:00:00,2018-09-07 16:46:00,0.0,53,0.76,46.05,0,1,1.0,2,1244 days 16:46:00.000000000,1244,16.77,0,54755,76.0,0,3499.7999999999997
ANSL_69874,2016-09-16 00:00:00,2018-10-11 15:57:00,1.0,2,0.92,11.19,0,1,0.0,1,755 days 15:57:00.000000000,755,15.95,0,69874,92.0,0,1029.48
ANSL_52815,2016-11-17 00:00:00,2016-12-10 19:24:00,-1.0,21,0.99,44.23,13,9,2.0,1,23 days 19:24:00.000000000,23,19.4,1,52815,99.0,117,4378.7699999999995
ANSL_63690,2016-09-18 00:00:00,2018-10-10 09:16:00,-1.0,40,0.16,8.42,15,4,2.0,4,752 days 09:16:00.000000000,752,9.27,1,63690,16.0,60,134.72
ANSL_74184,2017-09-17 00:00:00,2017-10-31 12:24:00,2.0,5,0.33,33.54,13,9,0.0,1,44 days 12:24:00.000000000,44,12.4,0,74184,33.0,117,1106.82
ANSL_68874,2016-11-16 00:00:00,2017-04-02 13:44:00,2.0,2,0.95,44.05,13,9,1.0,1,137 days 13:44:00.000000000,137,13.73,0,68874,95.0,117,4184.75
ANSL_64736,2014-08-13 00:00:00,2017-09-03 18:54:00,2.0,40,0.17,33.19,15,4,1.0,4,1117 days 18:54:00.000000000,1117,18.9,0,64736,17.0,60,564.23
ANSL_60337,2016-09-13 00:00:00,2016-12-17 14:57:00,1.0,48,0.14,17.85,13,9,0.0,2,95 days 14:57:00.000000000,95,14.95,0,60337,14.000000000000002,117,249.90000000000006
ANSL_65602,2017-10-11 00:00:00,2018-01-04 17:17:00,2.0,18,0.37,17.3,0,1,0.0,1,85 days 17:17:00.000000000,85,17.28,0,65602,37.0,0,640.1
ANSL_66640,2016-09-06 00:00:00,2016-12-16 17:30:00,1.0,3,0.41,24.66,0,1,0.0,2,101 days 17:30:00.000000000,101,17.5,0,66640,41.0,0,1011.0600000000001
ANSL_55016,2016-04-04 00:00:00,2017-04-28 18:45:00,1.0,26,0.52,6.25,0,1,0.0,1,389 days 18:45:00.000000000,389,18.75,0,55016,52.0,0,325.0
ANSL_74939,2016-03-24 00:00:00,2017-11-13 16:00:00,1.0,53,0.91,24.31,0,7,0.0,2,599 days 16:00:00.000000000,599,16.0,0,74939,91.0,0,2212.21
ANSL_54794,2017-09-06 00:00:00,2017-12-04 12:30:00,0.0,12,0.69,42.55,0,1,1.0,1,89 days 12:30:00.000000000,89,12.5,0,54794,69.0,0,2935.95
ANSL_66067,2011-12-03 00:00:00,2016-12-23 16:42:00,0.0,2,0.04,5.4,0,7,1.0,2,1847 days 16:42:00.000000000,1847,16.7,0,66067,4.0,0,21.6
ANSL_67472,2016-07-10 00:00:00,2016-10-06 18:40:00,1.0,38,0.03,8.12,0,1,0.0,1,88 days 18:40:00.000000000,88,18.67,0,67472,3.0,0,24.36
ANSL_61924,2017-11-17 00:00:00,2018-06-19 14:48:00,0.0,48,0.18,26.67,0,1,1.0,2,214 days 14:48:00.000000000,214,14.8,0,61924,18.0,0,480.06000000000006
ANSL_57027,2018-11-07 00:00:00,2019-02-09 17:06:00,0.0,49,0.04,13.85,0,1,1.0,1,94 days 17:06:00.000000000,94,17.1,0,57027,4.0,0,55.4
ANSL_63245,2014-03-23 00:00:00,2018-04-13 15:38:00,1.0,2,0.08,29.65,0,7,0.0,2,1482 days 15:38:00.000000000,1482,15.63,0,63245,8.0,0,237.2
ANSL_67439,2018-06-23 00:00:00,2019-01-16 15:20:00,2.0,53,0.2,32.09,13,9,0.0,2,207 days 15:20:00.000000000,207,15.33,0,67439,20.0,117,641.8000000000001
ANSL_61569,2015-10-22 00:00:00,2017-05-21 12:01:00,2.0,2,0.15,31.43,0,7,0.0,2,577 days 12:01:00.000000000,577,12.02,0,61569,15.0,0,471.45
ANSL_66720,2017-10-26 00:00:00,2018-12-14 19:15:00,1.0,16,0.63,22.83,0,1,0.0,2,414 days 19:15:00.000000000,414,19.25,0,66720,63.0,0,1438.29
ANSL_69437,2017-07-16 00:00:00,2018-01-09 13:02:00,1.0,7,0.9,24.96,7,1,0.0,1,177 days 13:02:00.000000000,177,13.03,0,69437,90.0,7,2246.4
ANSL_65204,2016-07-21 00:00:00,2016-09-17 13:31:00,2.0,2,0.81,43.14,13,9,0.0,1,58 days 13:31:00.000000000,58,13.52,0,65204,81.0,117,3494.34
ANSL_60534,2017-07-13 00:00:00,2018-03-05 15:44:00,0.0,29,0.36,15.45,0,1,1.0,2,235 days 15:44:00.000000000,235,15.73,0,60534,36.0,0,556.1999999999999
ANSL_71253,2016-12-19 00:00:00,2018-06-12 12:21:00,0.0,18,0.49,7.78,13,9,1.0,1,540 days 12:21:00.000000000,540,12.35,0,71253,49.0,117,381.22
ANSL_61331,2018-06-07 00:00:00,2018-07-28 14:40:00,2.0,2,0.27,12.54,13,9,0.0,1,51 days 14:40:00.000000000,51,14.67,0,61331,27.0,117,338.58
ANSL_59868,2016-02-04 00:00:00,2018-04-29 16:38:00,-1.0,15,0.97,46.19,0,3,2.0,4,815 days 16:38:00.000000000,815,16.63,1,59868,97.0,0,4480.429999999999
ANSL_64532,2017-06-30 00:00:00,2017-10-11 00:00:00,2.0,22,0.53,20.28,9,5,1.0,1,103 days 00:00:00.000000000,103,0.0,0,64532,53.0,45,1074.8400000000001
ANSL_59797,2011-12-28 00:00:00,2019-01-18 09:36:00,1.0,53,0.4,47.42,0,7,0.0,2,2578 days 09:36:00.000000000,2578,9.6,0,59797,40.0,0,1896.8000000000002
ANSL_50355,2014-05-21 00:00:00,2017-06-11 18:13:00,1.0,9,0.04,45.23,0,7,0.0,2,1117 days 18:13:00.000000000,1117,18.22,0,50355,4.0,0,180.92
ANSL_61861,2006-03-04 00:00:00,2019-04-01 11:36:00,0.0,18,0.77,27.39,0,7,1.0,1,4776 days 11:36:00.000000000,4776,11.6,0,61861,77.0,0,2109.03
ANSL_75174,2018-06-20 00:00:00,2018-10-16 11:00:00,0.0,7,0.19,26.1,13,9,1.0,1,118 days 11:00:00.000000000,118,11.0,0,75174,19.0,117,495.90000000000003
ANSL_65618,2012-11-29 00:00:00,2018-03-04 00:00:00,1.0,9,0.5,12.22,0,7,0.0,2,1921 days 00:00:00.000000000,1921,0.0,0,65618,50.0,0,611.0
ANSL_71574,2016-04-09 00:00:00,2018-06-01 18:36:00,0.0,16,0.9,48.26,0,1,1.0,2,783 days 18:36:00.000000000,783,18.6,0,71574,90.0,0,4343.4
ANSL_61677,2018-06-26 00:00:00,2018-10-29 18:00:00,1.0,12,0.3,31.37,7,1,0.0,1,125 days 18:00:00.000000000,125,18.0,0,61677,30.0,7,941.1
ANSL_60315,2017-07-13 00:00:00,2018-09-24 18:40:00,0.0,12,0.91,27.96,0,1,1.0,1,438 days 18:40:00.000000000,438,18.67,0,60315,91.0,0,2544.36
ANSL_58968,2016-08-22 00:00:00,2016-11-22 15:31:00,0.0,50,1.0,27.77,0,1,1.0,1,92 days 15:31:00.000000000,92,15.52,0,58968,100.0,0,2777.0
ANSL_75417,2019-01-23 00:00:00,2019-04-08 18:26:00,1.0,48,0.53,22.5,7,1,0.0,2,75 days 18:26:00.000000000,75,18.43,0,75417,53.0,7,1192.5
